2024-02-26 09:35:52,132 - INFO - Starting GH_Data
2024-02-26 10:02:15,277 - INFO - GHComponent Sphere Params: ('Name: Radius, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Number, Optional: False, Data: , Recipients: None',)
2024-02-26 10:02:15,277 - INFO - GHComponent Range Params: ('Name: Steps, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Integer, Optional: False, Data: , Recipients: None',)
2024-02-26 10:02:15,277 - INFO - GHComponent Construct Domain Params: ('Name: Domain end, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Number, Optional: False, Data: , Recipients: None',)
2024-02-26 10:02:15,277 - INFO - GHComponent Panel Params: ('Name: Panel, DataMapping: 0, Kind: floating, DataEmitter: True, TypeName: Text, Optional: False, Data: , Recipients: [Curve_Divide Curve_4a2d0, Curve_Divide Curve_ee4cb, Surface_Sphere_98372, Sets_Range_51f2f, Maths_Construct Domain_8099d]',)
2024-02-26 10:02:15,277 - INFO - GHComponent Divide Curve Params: ('Name: Count, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Integer, Optional: False, Data: , Recipients: None',)
2024-02-26 10:02:15,277 - INFO - GHComponent Divide Curve Params: ('Name: Count, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Integer, Optional: False, Data: , Recipients: None',)
2024-02-26 10:02:15,277 - INFO - GHComponent Sphere Params: ('Name: Radius, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Number, Optional: False, Data: , Recipients: None',)
2024-02-26 10:02:15,277 - INFO - GHComponent Range Params: ('Name: Steps, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Integer, Optional: False, Data: , Recipients: None',)
2024-02-26 10:02:15,277 - INFO - GHComponent Construct Domain Params: ('Name: Domain end, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Number, Optional: False, Data: , Recipients: None',)
2024-02-26 10:02:15,277 - INFO - GHComponent Sphere Params: ('Name: Base, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Plane, Optional: False, Data: , Recipients: None',)
2024-02-26 10:02:15,277 - INFO - GHComponent Sphere Params: ('Name: Radius, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Number, Optional: False, Data: , Recipients: None',)
2024-02-26 10:02:15,278 - INFO - GHComponent Sphere Params: ('Name: Sphere, DataMapping: 0, Kind: output, DataEmitter: True, TypeName: Surface, Optional: False, Data: , Recipients: None',)
2024-02-26 10:19:43,796 - INFO - GHComponent Offset Curve Params: ('Name: Curve, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Curve, Optional: False, Data: , Recipients: None',)
2024-02-26 10:19:43,796 - INFO - GHComponent Divide Curve Params: ('Name: Curve, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Curve, Optional: False, Data: , Recipients: None',)
2024-02-26 10:19:43,796 - INFO - GHComponent Curve Params: ('Name: Curve, DataMapping: 0, Kind: floating, DataEmitter: True, TypeName: Curve, Optional: False, Data: , Recipients: [Curve_Offset Curve_a76be, Curve_Divide Curve_4a2d0]',)
2024-02-26 10:19:43,796 - INFO - GHComponent Offset Curve Params: ('Name: Curve, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Curve, Optional: False, Data: , Recipients: None',)
2024-02-26 10:19:43,797 - INFO - GHComponent Divide Curve Params: ('Name: Curve, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Curve, Optional: False, Data: , Recipients: None',)
2024-02-26 10:19:43,797 - INFO - GHComponent Curve Params: ('Name: Curve, DataMapping: 0, Kind: floating, DataEmitter: True, TypeName: Curve, Optional: False, Data: , Recipients: [Curve_Offset Curve_a76be, Curve_Divide Curve_4a2d0]',)
2024-02-26 10:19:43,797 - INFO - GHComponent Offset Curve Params: ('Name: Curve, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Curve, Optional: False, Data: , Recipients: None',)
2024-02-26 10:19:43,797 - INFO - GHComponent Divide Curve Params: ('Name: Curve, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Curve, Optional: False, Data: , Recipients: None',)
2024-02-26 10:19:43,797 - INFO - GHComponent Offset Curve Params: ('Name: Curve, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Curve, Optional: False, Data: , Recipients: None',)
2024-02-26 10:19:43,797 - INFO - GHComponent Offset Curve Params: ('Name: Distance, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Number, Optional: False, Data: , Recipients: None',)
2024-02-26 10:19:43,797 - INFO - GHComponent Offset Curve Params: ('Name: Plane, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Plane, Optional: True, Data: , Recipients: None',)
2024-02-26 10:19:43,797 - INFO - GHComponent Offset Curve Params: ('Name: Corners, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Integer, Optional: False, Data: , Recipients: None',)
2024-02-26 10:19:43,798 - INFO - GHComponent Divide Curve Params: ('Name: Curve, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Curve, Optional: False, Data: , Recipients: None',)
2024-02-26 10:19:43,798 - INFO - GHComponent Offset Curve Params: ('Name: Curve, DataMapping: 0, Kind: output, DataEmitter: True, TypeName: Curve, Optional: False, Data: , Recipients: [Curve_Divide Curve_ee4cb]',)
2024-02-26 10:19:43,798 - INFO - GHComponent Divide Curve Params: ('Name: Curve, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Curve, Optional: False, Data: , Recipients: None',)
2024-02-26 10:19:43,798 - INFO - GHComponent Offset Curve Params: ('Name: Distance, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Number, Optional: False, Data: , Recipients: None',)
2024-02-26 10:19:43,798 - INFO - GHComponent Number Slider Params: ('Name: Number Slider, DataMapping: 0, Kind: floating, DataEmitter: True, TypeName: Number, Optional: False, Data: , Recipients: [Curve_Offset Curve_a76be]',)
